county_name,total_county_population,median_household_income,aggregate_household_income,per_capita_income,median_family_income,poverty_status_total_population,income_below_poverty_level,poverty_white_alone_total,poverty_white_alone_below_poverty,poverty_black_alone_total,poverty_black_alone_below_poverty,poverty_hispanic_total,poverty_hispanic_below_poverty,poverty_ratio_total,poverty_ratio_under_50_pct,poverty_ratio_50_99_pct,poverty_children_under_18_total,poverty_children_under_18_below_poverty,snap_total_households,snap_received_past_12mo,public_assistance_total_households,public_assistance_received,ssi_total_households,ssi_received,health_insurance_total,health_insurance_no_coverage,medicaid_means_tested_total,medicaid_means_tested_coverage,education_total_25_plus,education_high_school_diploma,education_bachelors_degree,education_masters_degree,employment_pop_16_plus,employment_civilian_labor_force,employment_employed,employment_unemployed,disability_total_pop,disability_male_under_5_with_disability,disability_male_5_17_with_disability,disability_male_18_34_with_disability,disability_male_35_64_with_disability,disability_male_65_74_with_disability,disability_male_75_plus_with_disability,disability_female_under_5_with_disability,disability_female_5_17_with_disability,disability_female_18_34_with_disability,disability_female_35_64_with_disability,disability_female_65_74_with_disability,disability_female_75_plus_with_disability,rent_burden_total_renters,rent_burden_50_plus_pct,median_gross_rent,families_with_children_total,families_female_householder_with_children,total_population,white_alone,black_alone,asian_alone,total_population_ethnicity,hispanic_or_latino,total_households,average_household_size,total_households_composition,family_households,married_couple_family,householder_living_alone,total_population_gender,male_population,female_population,median_age,median_home_value,language_total_5_plus,language_speak_only_english,english_proficiency_total_5_plus,english_speak_not_well,nativity_total,foreign_born,vehicles_total_households,vehicles_none,mean_travel_time_to_work,veteran_total_18_plus,veteran_population,state_fips,county_fips,white_pct,black_pct,asian_pct,hispanic_pct,male_pct,female_pct,family_household_pct,snap_participation_rate,public_assistance_rate,ssi_rate,poverty_rate,uninsured_rate,medicaid_rate,child_poverty_rate,white_poverty_rate,black_poverty_rate,hispanic_poverty_rate,deep_poverty_rate,near_poverty_rate,hs_graduate_rate,bachelors_plus_rate,labor_force_participation_rate,unemployment_rate,employment_rate,disability_rate,rent_burden_severe_50_plus,single_parent_rate,veteran_rate,english_only_rate,limited_english_rate,foreign_born_rate,no_vehicle_rate,data_pulled_date,acs_year
"Zapata County, Texas",13896,35061,258400700,19139,39146,13739,5109,7287,2352,13,0,13015,4973,13739,2932,2177,4496,2401,4580,1468,4580,60,4580,529,13776,35,13776,1893,7912,2093,722,128,9806,5267,4843,424,13776,58,256,141,527,127,220,0,59,104,283,208,247,1167,242,557,3861,1552,13896,7326,13,21,13896,13157,4580,3.01,4580,3135,1557,1302,13896,6953,6943,30.9,84800,,,4580,1165,13896,3030,4580,211,,9363,312,48,505,52.72,0.09,0.15,94.68,50.04,49.96,68.45,32.05,1.31,11.55,37.19,0.25,13.74,53.4,32.28,0.0,38.21,21.34,15.85,26.45,10.74,53.71,8.05,49.39,16.19,20.74,40.2,3.33,,25.44,21.8,4.61,2025-11-24 04:14:22,2022
"Zavala County, Texas",9700,49243,205633100,20409,52679,9634,2987,5575,1956,62,62,9081,2903,9634,1537,1450,2847,1546,3427,1081,3427,114,3427,469,9615,8,9615,1245,5822,1249,588,163,7316,4029,3797,232,9615,0,160,136,178,283,71,0,42,82,324,131,231,942,140,838,2049,1298,9700,5615,70,32,9700,9099,3427,2.81,3427,2744,1557,569,9700,5101,4599,33.2,77300,,,3427,448,9700,748,3427,85,63550.0,6834,341,48,507,57.89,0.72,0.33,93.8,52.59,47.41,80.07,31.54,3.33,13.69,31.0,0.08,12.95,54.3,35.09,100.0,31.97,15.95,15.05,21.45,12.9,55.07,5.76,51.9,17.04,14.86,63.35,4.99,,13.07,7.71,2.48,2025-11-24 04:14:22,2022
"Beaver County, Utah",7102,80268,197557600,28176,86524,6898,485,6188,233,0,0,869,258,6898,283,202,2186,134,2290,99,2290,6,2290,82,6897,39,6897,171,4241,1075,924,192,5175,3180,3064,116,6897,0,37,92,79,172,140,0,49,18,115,102,85,447,76,948,2163,77,7102,6326,10,0,7102,919,2290,3.01,2290,1888,1694,372,7102,3814,3288,33.8,248200,,,2290,5,7102,449,2290,28,,4908,256,49,001,89.07,0.14,0.0,12.94,53.7,46.3,82.45,4.32,0.26,3.58,7.03,0.57,2.48,6.13,3.77,,29.69,4.1,2.93,25.35,26.31,61.45,3.65,59.21,12.89,17.0,3.56,5.22,,0.22,6.32,1.22,2025-11-24 04:14:22,2022
"Box Elder County, Utah",58291,72769,1701573400,30762,87041,57908,4719,52336,3690,213,88,5690,1364,57908,1851,2868,17928,1525,18557,1122,18557,392,18557,900,57914,195,57914,1477,34857,9977,6499,2046,42381,27722,26993,729,57914,0,220,754,1135,619,677,0,195,790,1007,449,703,4441,807,927,16708,1189,58291,52626,240,581,58291,5751,18557,3.12,18557,14204,12067,3860,58291,29874,28417,33.1,308900,,,18557,123,58291,1697,18557,259,559380.0,40133,2368,49,003,90.28,0.41,1.0,9.87,51.25,48.75,76.54,6.05,2.11,4.85,8.15,0.34,2.55,8.51,7.05,41.31,23.97,3.2,4.95,28.62,24.51,65.41,2.63,63.69,11.31,18.17,7.12,5.9,,0.66,2.91,1.4,2025-11-24 04:14:22,2022
"Cache County, Utah",134428,72719,3857226900,29298,82750,130636,17695,114124,14245,903,170,14357,3343,130636,7705,9990,39398,5296,41718,2255,41718,871,41718,795,133655,332,133655,5251,68799,12606,17456,7168,98840,69240,67546,1694,133655,21,601,1487,1247,807,1005,11,787,1516,1700,757,1405,14970,3211,1025,37112,4046,134428,117401,925,2699,134428,14770,41718,3.13,41718,31746,26894,6517,134428,67593,66835,25.5,351700,,,41718,361,134428,8039,41718,610,,94545,3627,49,005,87.33,0.69,2.01,10.99,50.28,49.72,76.1,5.41,2.09,1.91,13.55,0.25,3.93,13.44,12.48,18.83,23.28,5.9,7.65,18.32,35.79,70.05,2.45,68.34,8.49,21.45,10.9,3.84,,0.87,5.98,1.46,2025-11-24 04:14:22,2022
"Carbon County, Utah",20338,53734,529422000,26450,71143,19975,3317,17890,2845,217,79,2747,752,19975,1340,1977,5166,944,7998,1122,7998,102,7998,499,20110,59,20110,1139,13286,3234,1563,504,15706,8852,8256,596,20110,0,35,100,780,325,281,0,50,203,706,505,398,2643,582,786,4681,560,20338,18214,226,56,20338,2799,7998,2.49,7998,5372,4377,2281,20338,10219,10119,37.8,176400,,,7998,31,20338,457,7998,82,,15037,933,49,007,89.56,1.11,0.28,13.76,50.25,49.75,67.17,14.03,1.28,6.24,16.61,0.29,5.66,18.27,15.9,36.41,27.38,6.71,9.9,24.34,15.56,56.36,6.73,52.57,16.82,22.02,11.96,6.2,,0.39,2.25,1.03,2025-11-24 04:14:22,2022
"Daggett County, Utah",638,61250,17256900,27261,91250,589,46,560,45,0,0,8,0,589,38,8,161,2,235,13,235,0,235,11,577,0,577,8,429,115,53,16,492,258,249,9,577,0,0,1,26,5,18,0,0,2,9,8,6,38,2,-666666666,148,2,638,592,0,0,638,18,235,2.44,235,139,131,94,638,366,272,43.3,252400,,,235,0,638,0,235,7,,464,21,49,009,92.79,0.0,0.0,2.82,57.37,42.63,59.15,5.53,0.0,4.68,7.81,0.0,1.39,1.24,8.04,,0.0,6.45,1.36,26.81,16.08,52.44,3.49,50.61,13.0,5.26,1.35,4.53,,0.0,0.0,2.98,2025-11-24 04:14:22,2022
"Davis County, Utah",363032,101285,13806531300,39218,113192,360353,21786,315104,18355,4400,467,37685,4346,360353,9901,11885,111820,8495,112155,5126,112155,1387,112155,3773,358634,716,358634,8462,215372,40115,54957,21481,263049,182883,178388,4495,358634,98,2548,2971,5688,2574,2882,0,1527,3113,6051,2001,3634,25005,4406,1407,104733,11603,363032,317232,4526,6627,363032,37998,112155,3.21,112155,88849,73841,18600,363032,184446,178586,32.0,423200,,,112155,634,363032,19163,112155,1066,3536655.0,247282,16860,49,011,87.38,1.25,1.83,10.47,50.81,49.19,79.22,4.57,1.24,3.36,6.05,0.2,2.36,7.6,5.83,10.61,11.53,2.75,3.3,18.63,35.49,69.52,2.46,67.82,9.23,17.62,11.08,6.82,,0.57,5.28,0.95,2025-11-24 04:14:22,2022
"Duchesne County, Utah",19779,70821,555722600,28650,78494,19443,2625,17253,2112,65,41,1676,391,19443,1172,1453,6387,1145,6461,684,6461,116,6461,383,19495,73,19495,893,11720,4124,1152,441,13956,8365,8006,359,19495,14,128,134,589,320,229,16,68,105,560,215,317,1469,271,894,5924,629,19779,17557,74,78,19779,1683,6461,3.01,6461,4988,4012,1277,19779,10004,9775,33.1,228600,,,6461,103,19779,637,6461,139,,13285,648,49,013,88.77,0.37,0.39,8.51,50.58,49.42,77.2,10.59,1.8,5.93,13.5,0.37,4.58,17.93,12.24,63.08,23.33,6.03,7.47,35.19,13.59,59.94,4.29,57.37,13.82,18.45,10.62,4.88,,1.59,3.22,2.15,2025-11-24 04:14:22,2022
"Emery County, Utah",9898,67056,271502100,27771,82349,9791,1156,9357,1072,8,5,676,192,9791,352,804,2770,498,3447,368,3447,32,3447,65,9819,16,9819,562,6282,1774,572,369,7460,4195,4043,152,9819,6,64,109,310,180,161,0,52,58,205,149,220,749,143,662,2375,314,9898,9461,8,0,9898,677,3447,2.84,3447,2553,2193,815,9898,5036,4862,38.4,168700,,,3447,26,9898,254,3447,33,,7045,496,49,015,95.58,0.08,0.0,6.84,50.88,49.12,74.06,10.68,0.93,1.89,11.81,0.16,5.72,17.98,11.46,62.5,28.4,3.6,8.21,28.24,14.98,56.23,3.62,54.2,15.42,19.09,13.22,7.04,,0.75,2.57,0.96,2025-11-24 04:14:22,2022
"Garfield County, Utah",5121,56481,141086500,29240,72930,4947,787,4702,637,0,0,329,50,4947,419,368,1108,234,1952,65,1952,12,1952,58,4947,4,4947,35,3747,1013,785,268,4120,2445,2337,108,4947,0,22,82,115,125,117,0,19,0,80,73,100,524,38,779,1037,152,5121,4826,6,0,5121,381,1952,2.46,1952,1369,1166,482,5121,2635,2486,40.4,237800,,,1952,0,5121,208,1952,30,29780.0,3987,192,49,017,94.24,0.12,0.0,7.44,51.45,48.55,70.13,3.33,0.61,2.97,15.91,0.08,0.71,21.12,13.55,,15.2,8.47,7.44,27.03,28.1,59.34,4.42,56.72,14.82,7.25,14.66,4.82,,0.0,4.06,1.54,2025-11-24 04:14:22,2022
"Grand County, Utah",9680,59171,350344600,37510,75333,9599,1505,8368,1195,2,0,1045,163,9599,893,612,1779,323,4335,355,4335,28,4335,148,9609,22,9609,429,6970,1352,1501,401,8113,5762,5690,72,9609,0,21,34,242,139,107,0,29,152,148,136,166,1429,335,1020,1645,436,9680,8431,2,140,9680,1052,4335,2.21,4335,2521,1883,1426,9680,4947,4733,40.3,426800,,,4335,84,9680,629,4335,16,,7901,338,49,019,87.1,0.02,1.45,10.87,51.11,48.89,58.15,8.19,0.65,3.41,15.68,0.23,4.46,18.16,14.28,0.0,15.6,9.3,6.38,19.4,27.29,71.02,1.25,70.13,12.22,23.44,26.5,4.28,,1.94,6.5,0.37,2025-11-24 04:14:22,2022
"Iron County, Utah",58068,63005,1503673000,26650,78002,57417,8109,50724,6941,388,157,5477,787,57417,3840,4269,16001,1835,18596,1621,18596,330,18596,1002,57724,217,57724,2521,32559,6487,6623,2222,43811,28173,27249,924,57724,0,463,590,819,692,654,13,191,633,1304,400,629,5952,1008,935,14923,1558,58068,51237,434,654,58068,5619,18596,3.07,18596,13390,11148,3667,58068,29210,28858,29.5,299400,,,18596,219,58068,2850,18596,314,,41886,1959,49,021,88.24,0.75,1.13,9.68,50.3,49.7,72.0,8.72,1.77,5.39,14.12,0.38,4.37,11.47,13.68,40.46,14.37,6.69,7.44,19.92,27.17,64.31,3.28,62.2,11.07,16.94,10.44,4.68,,1.18,4.91,1.69,2025-11-24 04:14:22,2022
"Juab County, Utah",11943,88048,356552800,31545,96812,11784,1009,10909,891,76,0,677,69,11784,424,585,3947,427,3594,241,3594,26,3594,228,11823,25,11823,428,6736,2153,989,327,8442,5592,5487,105,11823,0,34,176,340,158,142,0,2,79,239,116,175,732,98,969,3672,358,11943,11057,76,71,11943,685,3594,3.28,3594,2956,2423,517,11943,6287,5656,30.1,322100,,,3594,0,11943,221,3594,57,,7906,384,49,023,92.58,0.64,0.59,5.74,52.64,47.36,82.25,6.71,0.72,6.34,8.56,0.21,3.62,10.82,8.17,0.0,10.19,3.6,4.96,31.96,19.54,66.24,1.88,65.0,12.36,13.39,9.75,4.86,,0.0,1.85,1.59,2025-11-24 04:14:22,2022
"Kane County, Utah",7814,70327,288518200,36941,97132,7571,978,7151,862,0,0,305,106,7571,315,663,1709,224,3225,89,3225,28,3225,67,7609,32,7609,117,5607,1244,1238,406,6228,3598,3471,127,7609,0,3,56,242,257,225,0,35,139,175,76,181,711,156,1124,1627,267,7814,7281,13,84,7814,422,3225,2.34,3225,1917,1672,1115,7814,3897,3917,42.9,297500,,,3225,0,7814,174,3225,24,37275.0,6012,570,49,025,93.18,0.17,1.07,5.4,49.87,50.13,59.44,2.76,0.87,2.08,12.92,0.42,1.54,13.11,12.05,,34.75,4.16,8.76,22.19,29.32,57.77,3.53,55.73,18.25,21.94,16.41,9.48,,0.0,2.23,0.74,2025-11-24 04:14:22,2022
"Millard County, Utah",13027,69403,345387100,27757,76734,12862,1439,11056,1300,23,11,1638,391,12862,328,1111,4021,603,4177,296,4177,51,4177,234,12878,84,12878,527,7915,2216,1428,328,9387,5644,5395,249,12878,0,24,109,237,288,213,0,75,100,317,187,193,1004,146,801,3667,391,13027,11189,32,224,13027,1657,4177,3.07,4177,3264,2675,864,13027,6703,6324,34.4,227000,,,4177,43,13027,789,4177,52,83555.0,8960,610,49,027,85.89,0.25,1.72,12.72,51.45,48.55,78.14,7.09,1.22,5.6,11.19,0.65,4.09,15.0,11.76,47.83,23.87,2.55,8.64,28.0,22.19,60.13,4.41,57.47,13.53,14.54,10.66,6.81,,1.03,6.06,1.24,2025-11-24 04:14:22,2022
"Morgan County, Utah",12367,120854,510989000,40485,127052,12355,213,11725,191,69,0,377,22,12355,179,34,4241,50,3506,3,3506,37,3506,110,12357,28,12357,159,6940,1392,1667,722,8631,5498,5404,94,12357,0,107,65,131,64,176,0,33,44,55,62,70,458,13,1276,3915,88,12367,11735,69,50,12367,379,3506,3.52,3506,3125,2810,343,12367,6417,5950,32.1,556900,,,3506,0,12367,217,3506,27,131870.0,8120,459,49,029,94.89,0.56,0.4,3.06,51.89,48.11,89.13,0.09,1.06,3.14,1.72,0.23,1.29,1.18,1.63,0.0,5.84,1.45,0.28,20.06,34.42,63.7,1.71,62.61,6.53,2.84,2.25,5.65,,0.0,1.75,0.77,2025-11-24 04:14:22,2022
"Piute County, Utah",1764,33359,28083300,19919,44125,1746,365,1668,334,0,0,73,19,1746,129,236,331,73,569,70,569,3,569,40,1746,0,1746,73,1234,373,171,58,1478,636,578,58,1746,0,0,8,51,74,90,0,0,0,18,61,67,51,5,594,318,40,1764,1681,3,0,1764,75,569,3.07,569,359,305,208,1764,940,824,49.5,218800,,,569,0,1764,27,569,24,,1426,85,49,031,95.29,0.17,0.0,4.25,53.29,46.71,63.09,12.3,0.53,7.03,20.9,0.0,4.18,22.05,20.02,,26.03,7.39,13.52,30.23,18.56,43.03,9.12,39.11,21.13,9.8,12.58,5.96,,0.0,1.53,4.22,2025-11-24 04:14:22,2022
"Rich County, Utah",2543,69250,62524800,26796,82875,2535,203,2233,99,0,0,254,89,2535,102,101,818,62,765,39,765,5,765,17,2535,17,2535,48,1528,317,250,118,1809,1007,981,26,2535,0,65,10,102,31,49,0,13,46,9,41,17,160,11,663,818,115,2543,2239,0,1,2543,256,765,3.3,765,610,537,138,2543,1287,1256,33.9,272900,,,765,12,2543,80,765,0,,1725,135,49,033,88.05,0.0,0.04,10.07,50.61,49.39,79.74,5.1,0.65,2.22,8.01,0.67,1.89,7.58,4.43,,35.04,4.02,3.98,20.75,24.08,55.67,2.58,54.23,15.11,6.88,14.06,7.83,,1.57,3.15,0.0,2025-11-24 04:14:22,2022
"Salt Lake County, Utah",1180643,90011,47221665400,40969,106281,1164763,94306,869477,59052,20888,4655,221233,27246,1164763,44044,50262,302072,25201,407673,21594,407673,6824,407673,12968,1173416,3579,1173416,28548,754424,145389,182997,71199,907872,652770,629317,23453,1173416,341,7169,10958,20506,8282,9252,190,5085,11488,21419,9301,12744,133934,27002,1394,272172,38200,1180643,880344,21531,49060,1180643,225177,407673,2.86,407673,276845,216023,97704,1180643,597700,582943,33.4,440400,,,407673,8049,1180643,152642,407673,5502,11771880.0,871916,36601,49,035,74.56,1.82,4.16,19.07,50.62,49.38,67.91,5.3,1.67,3.18,8.1,0.31,2.43,8.34,6.79,22.29,12.32,3.78,4.32,19.27,33.69,71.9,3.59,69.32,9.95,20.16,14.04,4.2,,1.97,12.93,1.35,2025-11-24 04:14:22,2022
"San Juan County, Utah",14524,52108,336017000,25591,65568,14222,2937,6630,574,6,0,861,241,14222,1624,1313,4087,931,4457,638,4457,33,4457,524,14309,85,14309,882,8909,2453,1153,437,10996,5942,5224,718,14309,0,147,331,495,309,223,0,160,236,682,279,290,903,86,861,3318,861,14524,6764,22,77,14524,921,4457,3.16,4457,3193,2318,1090,14524,7293,7231,33.2,177900,,,4457,0,14524,240,4457,260,,10421,597,49,037,46.57,0.15,0.53,6.34,50.21,49.79,71.64,14.31,0.74,11.76,20.65,0.59,6.16,22.78,8.66,0.0,27.99,11.42,9.23,27.53,17.85,54.04,12.08,47.51,22.03,9.52,25.95,5.73,,0.0,1.65,5.83,2025-11-24 04:14:22,2022
"Sanpete County, Utah",28816,64356,704909800,25257,72583,26244,3888,23405,3181,224,79,2156,556,26244,1658,2230,6781,1297,8617,604,8617,72,8617,513,26755,90,26755,1347,17341,4903,2294,1180,22661,12823,12239,584,26755,2,99,285,519,408,336,0,68,241,455,300,421,1911,253,910,6459,568,28816,25076,258,226,28816,2735,8617,3.03,8617,6539,5670,1619,28816,15325,13491,33.1,268600,,,8617,76,28816,1465,8617,91,,21618,1081,49,039,87.02,0.9,0.78,9.49,53.18,46.82,75.88,7.01,0.84,5.95,14.81,0.34,5.03,19.13,13.59,35.27,25.79,6.32,8.5,28.27,20.03,56.59,4.55,54.01,11.71,13.24,8.79,5.0,,0.88,5.08,1.06,2025-11-24 04:14:22,2022
"Sevier County, Utah",21667,66972,603095700,28859,76808,21303,2501,19786,2338,115,0,1185,166,21303,854,1647,6056,777,7396,865,7396,151,7396,446,21374,27,21374,933,13611,3684,2083,818,16263,9836,9356,480,21374,12,95,291,586,363,304,0,185,225,458,297,321,1511,226,791,5525,530,21667,20128,117,95,21667,1224,7396,2.88,7396,5660,4871,1509,21667,11144,10523,36.2,239400,,,7396,64,21667,429,7396,147,,15415,1294,49,041,92.9,0.54,0.44,5.65,51.43,48.57,76.53,11.7,2.04,6.03,11.74,0.13,4.37,12.83,11.82,0.0,14.01,4.01,7.73,27.07,21.31,60.48,4.88,57.53,14.68,14.96,9.59,8.39,,0.87,1.98,1.99,2025-11-24 04:14:22,2022
"Summit County, Utah",42524,126392,2660466900,67602,144118,42362,2218,37218,1874,321,26,4663,346,42362,1472,746,9922,371,13655,146,13655,124,13655,290,42395,76,42395,289,28806,3840,10326,4340,33848,23491,22962,529,42395,12,73,125,763,191,211,0,75,270,336,105,328,2597,469,1822,9110,1269,42524,37348,321,764,42524,4694,13655,3.1,13655,10214,8738,2687,42524,21971,20553,40.5,895100,,,13655,131,42524,3874,13655,147,412495.0,32493,1553,49,043,87.83,0.75,1.8,11.04,51.67,48.33,74.8,1.07,0.91,2.12,5.24,0.18,0.68,3.74,5.04,8.1,7.42,3.47,1.76,13.33,50.91,69.4,2.25,67.84,5.87,18.06,13.93,4.78,,0.96,9.11,1.08,2025-11-24 04:14:22,2022
"Tooele County, Utah",74032,95545,2484336300,34733,105751,73221,3322,63486,2832,559,0,10051,471,73221,1571,1751,22919,918,22124,1659,22124,276,22124,931,73555,318,73555,2304,43518,11974,6423,2523,53436,38337,36843,1494,73555,34,509,887,1642,407,590,58,552,664,1555,539,703,3957,353,1079,20512,2384,74032,64120,589,594,74032,10129,22124,3.33,22124,17751,14401,3389,74032,37722,36310,31.7,343900,,,22124,148,74032,2717,22124,419,,50391,3797,49,045,86.61,0.8,0.8,13.68,50.95,49.05,80.23,7.5,1.25,4.21,4.54,0.43,3.13,4.01,4.46,0.0,4.69,2.15,2.39,27.52,20.56,71.74,3.9,68.95,11.07,8.92,11.62,7.54,,0.67,3.67,1.89,2025-11-24 04:14:22,2022
"Uintah County, Utah",35951,67983,975130000,27977,84065,35473,4105,29429,2734,129,129,3099,527,35473,2021,2084,11325,1426,11547,1720,11547,494,11547,658,35664,175,35664,1300,21267,6115,2856,767,25782,15564,14591,973,35664,0,153,370,1155,363,194,18,137,327,835,339,558,3037,245,797,10396,959,35951,29844,152,222,35951,3147,11547,3.08,11547,8372,6828,2757,35951,18211,17740,32.4,253100,,,11547,141,35951,804,11547,184,264690.0,24425,1277,49,047,83.01,0.42,0.62,8.75,50.66,49.34,72.5,14.9,4.28,5.7,11.57,0.49,3.65,12.59,9.29,100.0,17.01,5.7,5.87,28.75,17.04,60.37,6.25,56.59,12.47,8.07,9.22,5.23,,1.22,2.24,1.59,2025-11-24 04:14:22,2022
"Utah County, Utah",666021,91263,21751903500,33251,100128,649200,57565,560141,46683,3793,758,81554,9892,649200,27320,30245,212198,14615,187171,8119,187171,3071,187171,5323,663054,1714,663054,17180,335378,47584,99898,32451,474722,337844,326244,11600,663054,132,5156,7663,9058,3174,4192,35,2649,6933,8432,3503,5351,58803,11730,1330,198326,13424,666021,574586,4091,9480,666021,83047,187171,3.46,187171,151502,130297,23108,666021,338404,327617,25.2,443000,,,187171,2238,666021,47980,187171,1812,5928895.0,450660,14944,49,049,86.27,0.61,1.42,12.47,50.81,49.19,80.94,4.34,1.64,2.84,8.87,0.26,2.59,6.89,8.33,19.98,12.13,4.21,4.66,14.19,39.46,71.17,3.43,68.72,8.49,19.95,6.77,3.32,,1.2,7.2,0.97,2025-11-24 04:14:22,2022
"Washington County, Utah",183297,71976,6385191800,36047,89507,181111,15967,159614,12581,909,184,20044,2846,181111,6495,9472,44934,4587,64151,3436,64151,737,64151,2403,181758,879,181758,5729,120527,22581,24819,10020,143048,80763,78297,2466,181758,101,989,1699,3545,2519,3550,11,398,1328,3239,1933,3435,17674,3628,1321,41837,4157,183297,161313,1062,1929,183297,20385,64151,2.82,64151,47937,41366,13196,183297,91287,92010,38.6,417400,,,64151,662,183297,10425,64151,704,,137580,10689,49,053,88.01,0.58,1.05,11.12,49.8,50.2,74.73,5.36,1.15,3.75,8.82,0.48,3.15,10.21,7.88,20.24,14.2,3.59,5.23,18.74,28.91,56.46,3.05,54.73,12.51,20.53,9.94,7.77,,1.03,5.69,1.1,2025-11-24 04:14:22,2022
"Wayne County, Utah",2532,64870,82619300,32605,86010,2505,212,2476,207,0,0,40,0,2505,50,162,584,43,1051,58,1051,2,1051,19,2505,21,2505,81,1753,392,269,87,2026,1282,1274,8,2505,0,4,6,34,48,80,0,19,4,41,12,42,230,1,926,538,61,2532,2497,0,0,2532,46,1051,2.37,1051,833,672,182,2532,1299,1233,43.0,316200,,,1051,1,2532,101,1051,11,25030.0,1937,134,49,055,98.62,0.0,0.0,1.82,51.3,48.7,79.26,5.52,0.19,1.81,8.46,0.84,3.23,7.36,8.36,,0.0,2.0,6.47,22.36,20.31,63.28,0.62,62.88,11.58,0.43,11.34,6.92,,0.1,3.99,1.05,2025-11-24 04:14:22,2022
"Weber County, Utah",262960,82291,8946962700,34778,93444,260040,19866,220887,16604,2620,402,48871,4706,260040,9352,10514,70659,6051,89990,6359,89990,1432,89990,4280,259875,869,259875,7616,164790,41285,31010,10422,199183,136933,132709,4224,259875,61,1619,2680,6245,2078,2155,0,1471,2743,5492,2186,3173,23249,4374,1188,64205,9082,262960,223362,2768,3637,262960,49388,89990,2.89,89990,65621,50609,19540,262960,133298,129662,33.2,346800,,,89990,1109,262960,16539,89990,1312,2645385.0,189901,13368,49,057,84.94,1.05,1.38,18.78,50.69,49.31,72.92,7.07,1.59,4.76,7.64,0.33,2.93,8.56,7.52,15.34,9.63,3.6,4.04,25.05,25.14,68.75,3.08,66.63,11.51,18.81,14.15,7.04,,1.23,6.29,1.46,2025-11-24 04:14:22,2022
"Addison County, Vermont",37434,85870,1488265900,42271,104167,34374,2577,32471,2334,314,59,645,164,34374,1256,1321,5895,401,14416,1300,14416,352,14416,650,37165,23,37165,1320,26081,6871,6343,3080,32059,20634,19788,846,37165,44,347,381,1055,608,658,17,127,377,1060,426,711,2961,693,1153,5579,872,37434,34494,391,769,37434,935,14416,2.38,14416,9084,7533,4059,37434,18716,18718,43.9,311200,,,14416,9,37434,1819,14416,174,,31337,1837,50,001,92.15,1.04,2.05,2.5,50.0,50.0,63.01,9.02,2.44,4.51,7.5,0.06,3.55,6.8,7.19,18.79,25.43,3.65,3.84,26.34,36.13,64.36,4.1,61.72,15.64,23.4,15.63,5.86,,0.06,4.86,1.21,2025-11-24 04:14:22,2022
"Bennington County, Vermont",37326,68558,1379793500,39717,95160,36227,4059,33959,3593,339,82,846,251,36227,2168,1891,6872,1094,14566,2169,14566,608,14566,1277,36766,0,36766,1879,26835,6715,5734,3662,31181,18439,17673,766,36766,30,206,326,1307,641,556,0,45,475,1165,775,926,3743,1061,974,6410,1729,37326,34919,357,402,37326,891,14566,2.47,14566,8992,6998,4711,37326,18243,19083,46.7,243000,,,14566,5,37326,1020,14566,323,,30166,2648,50,003,93.55,0.96,1.08,2.39,48.87,51.13,61.73,14.89,4.17,8.77,11.2,0.0,5.11,15.92,10.58,24.19,29.67,5.98,5.22,25.02,35.01,59.14,4.15,56.68,17.55,28.35,26.97,8.78,,0.03,2.73,2.22,2025-11-24 04:14:22,2022
"Caledonia County, Vermont",30418,62964,1080758600,36604,83632,29636,3500,27928,3168,255,73,555,136,29636,1589,1911,5567,696,12819,1808,12819,424,12819,813,30167,7,30167,1474,21985,6508,4219,1989,25437,16213,15786,427,30167,33,126,315,942,659,611,0,114,335,833,505,690,2928,716,919,5188,1208,30418,28614,323,130,30418,581,12819,2.29,12819,7869,5991,3903,30418,15313,15105,45.4,197700,,,12819,0,30418,797,12819,393,,24651,1864,50,005,94.07,1.06,0.43,1.91,50.34,49.66,61.39,14.1,3.31,6.34,11.81,0.02,4.89,12.5,11.34,28.63,24.5,5.36,6.45,29.6,28.24,63.74,2.63,62.06,17.11,24.45,23.28,7.56,,0.0,2.62,3.07,2025-11-24 04:14:22,2022
"Chittenden County, Vermont",168309,89494,7912402200,47458,118949,159030,17754,139756,14016,4078,1035,4004,484,159030,8755,8999,28847,2642,69318,5290,69318,1770,69318,3061,166911,140,166911,4892,112289,16873,36064,18247,142866,99150,95273,3877,166911,25,913,1775,2834,1443,1763,0,410,2362,3487,1351,2332,25385,6703,1511,27282,4683,168309,148313,4265,6546,168309,4286,69318,2.29,69318,38813,31032,20460,168309,83053,85256,36.7,378300,,,69318,14,168309,13737,69318,778,1712800.0,138527,6588,50,007,88.12,2.53,3.89,2.55,49.35,50.65,55.99,7.63,2.55,4.42,11.16,0.08,2.93,9.16,10.03,25.38,12.09,5.51,5.66,15.03,48.37,69.4,3.91,66.69,11.2,26.41,17.17,4.76,,0.02,8.16,1.12,2025-11-24 04:14:22,2022
